"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"5480758169","456720","12069","21 Jun 2020 02:43","34:45","2085","43-16","43,16","Radiant","Adroit","ninjaboogie, Mac, Bokerino, Boombacs, Natsumi-","T1","poloson, Forev, Meracle, Jhocam, inYourdreaM"
"5480698670","456711","12139","21 Jun 2020 02:12","41:09","2469","22-35","22,35","Dire","Ocean","Tyz, kress, Xmy, ZC, 吃饭用大碗","Blaze","KAZZ, AC娘, Xhd.y, po3, 无双斗魂"
"5480696658","456730","12113","21 Jun 2020 02:02","31:34","1894","19-13","19,13","Radiant","Alliance","Limmp, Handsken, s4, Fng, Nikobaby","Virtus.pro","Resolut1on, No[o]ne, Zayac, iLTW, Solo"
"5480634157","456720","12069","21 Jun 2020 01:28","40:19","2419","42-34","42,34","Radiant","T1","poloson, Forev, Meracle, Jhocam, inYourdreaM","Adroit","ninjaboogie, Mac, Bokerino, Boombacs, Natsumi-"
"5480624035","456711","12139","21 Jun 2020 01:03","38:58","2338","31-11","31,11","Radiant","Ocean","Tyz, kress, Xmy, ZC, 吃饭用大碗","Blaze","KAZZ, AC娘, Xhd.y, po3, 无双斗魂"
"5480562092","456704","12069","21 Jun 2020 12:11","36:57","2217","28-18","28,18","Radiant","TNC Predator","March, kpii, Gabbi, TIMS, Armel","New Esports","LaNcE, ddz`, YamateH, MozuN -, CandyLoon"
"5480558546","456711","12139","21 Jun 2020 12:16","26:58","1618","8-20","8,20","Dire","Ocean","Tyz, kress, Xmy, ZC, 吃饭用大碗","Blaze","KAZZ, AC娘, Xhd.y, po3, 无双斗魂"
"5480509486","456701","12113","21 Jun 2020 11:28","33:39","2019","31-17","31,17","Radiant","CDEC","Victoria, Xm, Srf, James, 长亭外 古道边 芳草天","PSG.LGD","xNova, Chalice, fy, Somnus, old eLeVeN"
"5480452397","456704","12069","21 Jun 2020 10:54","42:39","2559","17-42","17,42","Dire","TNC Predator","March, kpii, Gabbi, TIMS, Armel","New Esports","LaNcE, ddz`, YamateH, MozuN -, CandyLoon"
"5480448072","456697","12139","21 Jun 2020 10:34","22:04","1324","8-18","8,18","Dire","The New Top","牧马, 咩爷, Luobo, OilBottle, hmx","Blaze","KAZZ, AC娘, Xhd.y, po3, 无双斗魂"
